ID,FQA_USDASymbol,FQA_USDASymbolOrigin,FQA_Family,FQA_SciName_withAuthority,FQA_SciName_noAuthority,FQA_Genus,FQA_Species,FQA_Trinomial,FQA_C-Value2020,FQA_C-Value2020_Numeric,FQA_NativeStatus,CONox_Status,AW_WetIndicator,GP_WetIndicator,WMVC_WetIndicator,CNHP_Tracked,CNHP_GRank,CNHP_SRank,CPW_DuckFoodValue,USDA_MajorGroup,USDA_Category,USDA_GrowthHabitSimple,USDA_GrowthHabitFull,USDA_GrowthHabitDuration_Origin,USDA_Duration,USDA_GrowthForm,USDA_GrowthRate,USDA_DroughtTolerance,USDA_ShadeTolerance,USDA_BloomPeriod,Invasiveness,IRank,IRank_Score,FQA_NameOrigin,National_USDASymbol,National_Family,National_SciName_noAuthority,Ack_Family,Ack_SciName_noAuthority,Weber2001_Family,Weber2001_SciName_no Authority,Weber2012_Family,Weber2012_SciName_no Authority,IRank_GName,National_NativeStatus,Ack_NativeStatus,Weber2001_NativeStatus,ITIS_NativeStatus,BONAP_NativeStatus,BONAP_Override,IRank_MixedOrigin,FQA_C-Value2006
1168,"CRAC2","FQA_SciName","Asteraceae","Crepis acuminata Nutt.","Crepis acuminata","Crepis","acuminata"," ","6",6,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial","Bunch","Moderate","High","Intermediate","Early Summer",,,,"Ackerfield 2015","CRAC2","Asteraceae","Crepis acuminata","Asteraceae","Crepis acuminata","Asteraceae","Psilochenia acuminata","Asteraceae","Psilochenia acuminata",,"Native","Native","Native","Native","Native",,,"6"
1169,"CRAT","FQA_SciName","Asteraceae","Crepis atribarba A. Heller","Crepis atribarba","Crepis","atribarba"," ","5",5,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRAT","Asteraceae","Crepis atribarba","Asteraceae","Crepis atribarba","Asteraceae","Psilochenia atribarba","Asteraceae","Psilochenia atribarba",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1170,"CRCA3","FQA_SciName","Asteraceae","Crepis capillaris (L.) Wallr.","Crepis capillaris","Crepis","capillaris"," ","0",0,"Non-native",,"FACU","UPL","FACU",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual, Biennial",,,,,,3,,,"Ackerfield 2015","CRCA3","Asteraceae","Crepis capillaris","Asteraceae","Crepis capillaris","Asteraceae","Crepis capillaris","Asteraceae","Crepis capillaris","Crepis capillaris","Introduced","Introduced","Non-native","Introduced","Exotic",,,"0"
1171,"CRIN4","FQA_SciName","Asteraceae","Crepis intermedia A. Gray","Crepis intermedia","Crepis","intermedia"," ","6",6,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRIN4","Asteraceae","Crepis intermedia","Asteraceae","Crepis intermedia","Asteraceae","Psilochenia intermedia","Asteraceae","Psilochenia intermedia",,"Native","Native","Native","Native","Native",,,"6"
1173,"CRMOM","FQA_SciName","Asteraceae","Crepis modocensis Greene ssp. modocensis","Crepis modocensis ssp. modocensis","Crepis","modocensis","ssp. modocensis","6",6,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRMOM","Asteraceae","Crepis modocensis ssp. modocensis","Asteraceae","Crepis modocensis ssp. modocensis","Asteraceae","Psilochenia modocensis","Asteraceae","Psilochenia modocensis",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1174,"CRNA","FQA_SciName","Asteraceae","Crepis nana Richardson","Crepis nana","Crepis","nana"," ","9",9,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRNA","Asteraceae","Crepis nana","Asteraceae","Crepis nana","Asteraceae","Askellia nana","Asteraceae","Askellia nana",,"Native","Native","Native","Native","Native",,,"9"
1175,"CROC","FQA_SciName","Asteraceae","Crepis occidentalis Nutt.","Crepis occidentalis","Crepis","occidentalis"," ","6",6,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Annual, Perennial","Single Crown","Moderate","Medium","Intolerant","Late Spring",,,,"Ackerfield 2015","CROC","Asteraceae","Crepis occidentalis","Asteraceae","Crepis occidentalis","Asteraceae","Psilochenia occidentalis","Asteraceae","Psilochenia occidentalis",,"Native","Native","Native","Native","Native",,,"6"
1176,"CROCC","FQA_SciName","Asteraceae","Crepis occidentalis Nutt. ssp. conjuncta (Jeps.) Babc. & Stebbins","Crepis occidentalis ssp. conjuncta","Crepis","occidentalis","ssp. conjuncta","6",6,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Annual, Perennial",,,,,,,,,"Ackerfield 2015","CROCC","Asteraceae","Crepis occidentalis ssp. conjuncta","Asteraceae","Crepis occidentalis ssp. conjuncta",,,,,,"Native","Native",,"Native","Native",,,"6"
1177,"CROCC2","FQA_SciName","Asteraceae","Crepis occidentalis Nutt. ssp. costata (A. Gray) Babc. & Stebbins","Crepis occidentalis ssp. costata","Crepis","occidentalis","ssp. costata","6",6,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Perennial, Annual",,,,,,,,,"Ackerfield 2015","CROCC2","Asteraceae","Crepis occidentalis ssp. costata","Asteraceae","Crepis occidentalis ssp. costata","Asteraceae","Psilochenia occidentalis","Asteraceae","Psilochenia occidentalis",,"Native","Native","Native","Native","Native",,,"6"
1178,"CROCO2","FQA_SciName","Asteraceae","Crepis occidentalis Nutt. ssp. occidentalis","Crepis occidentalis ssp. occidentalis","Crepis","occidentalis","ssp. occidentalis","6",6,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual, Perennial",,,,,,,,,"Ackerfield 2015","CROCO2","Asteraceae","Crepis occidentalis ssp. occidentalis","Asteraceae","Crepis occidentalis ssp. occidentalis","Asteraceae","Psilochenia occidentalis","Asteraceae","Psilochenia occidentalis",,"Native","Native","Native","Native","Native",,,"6"
1179,"CRRU3","FQA_SciName","Asteraceae","Crepis runcinata (James) Torr. & A. Gray","Crepis runcinata","Crepis","runcinata"," ","6",6,"Native",,"FACU","FAC","FACU",,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Perennial","Stoloniferous","Moderate","Low","Intolerant","Late Spring",,,,"Ackerfield 2015","CRRU3","Asteraceae","Crepis runcinata","Asteraceae","Crepis runcinata","Asteraceae","Psilochenia runcinata","Asteraceae","Psilochenia runcinata",,"Native","Native","Native","Native","Native",,,"6"
1180,"CRRUG","FQA_SciName","Asteraceae","Crepis runcinata (James) Torr. & A. Gray ssp. glauca (Nutt.) Babc. & Stebbins","Crepis runcinata ssp. glauca","Crepis","runcinata","ssp. glauca","6",6,"Native",,"FACU","FAC","FACU",,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRRUG","Asteraceae","Crepis runcinata ssp. glauca","Asteraceae","Crepis runcinata ssp. glauca",,,,,,"Native","Native",,"Native","Native",,,"6"
1181,"CRRUH2","FQA_SciName","Asteraceae","Crepis runcinata (James) Torr. & A. Gray ssp. hispidulosa (Howell ex Rydb.) Babc. & Stebbins","Crepis runcinata ssp. hispidulosa","Crepis","runcinata","ssp. hispidulosa","6",6,"Native",,"FACU","FAC","FACU",,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRRUH2","Asteraceae","Crepis runcinata ssp. hispidulosa","Asteraceae","Crepis runcinata ssp. hispidulosa","Asteraceae","Psilochenia runcinata","Asteraceae","Psilochenia runcinata",,"Native","Native","Native","Native","Native",,,"6"
1182,"CRRUR","FQA_SciName","Asteraceae","Crepis runcinata (James) Torr. & A. Gray ssp. runcinata","Crepis runcinata ssp. runcinata","Crepis","runcinata","ssp. runcinata","6",6,"Native",,"FACU","FAC","FACU",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRRUR","Asteraceae","Crepis runcinata ssp. runcinata","Asteraceae","Crepis runcinata ssp. runcinata","Asteraceae","Psilochenia runcinata","Asteraceae","Psilochenia runcinata",,"Native","Native","Native","Native","Native",,,"6"
4267,"CROSSO","FQA_SciName","Crossosomataceae","Crossosomataceae","Crossosomataceae",,,,,,,,,,,,,,,"Angiosperms","Dicot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,"CROTO","FQA_SciName","Euphorbiaceae","Croton L.","Croton","Croton",,,"2",2,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,"CRTE4","FQA_SciName","Euphorbiaceae","Croton texensis (Klotzsch) Müll. Arg.","Croton texensis","Croton","texensis"," ","2",2,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRTE4","Euphorbiaceae","Croton texensis","Euphorbiaceae","Croton texensis","Euphorbiaceae","Croton texensis","Euphorbiaceae","Croton texensis",,"Native","Native","Native","Native","Native",,,"2"
1185,"CRYPS","FQA_SciName","Poaceae","Crypsis Aiton","Crypsis","Crypsis",,,"0",0,"Non-native",,,,,,,,,"Angiosperms","Monocot","Graminoid","Graminoid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,"CRAL2","FQA_SciName","Poaceae","Crypsis alopecuroides (Piller & Mitterp.) Schrad.","Crypsis alopecuroides","Crypsis","alopecuroides"," ","0",0,"Non-native",,"OBL","FACW","OBL",,,,"NO","Angiosperms","Monocot","Graminoid","Graminoid",,"Annual",,,,,,,,,"Ackerfield 2015","CRAL2","Poaceae","Crypsis alopecuroides","Poaceae","Crypsis alopecuroides","Poaceae","Crypsis alopecuroides","Poaceae","Crypsis alopecuroides","Crypsis alopecuroides","Introduced","Introduced","Non-native","Introduced","Exotic",,,"0"
1195,"CRYPT","FQA_SciName","Boraginaceae","Cryptantha Lehm. ex G. Don","Cryptantha","Cryptantha",,,,,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,"CRAF","FQA_SciName","Boraginaceae","Cryptantha affinis (A. Gray) Greene","Cryptantha affinis","Cryptantha","affinis"," ","Not Assigned",,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRAF","Boraginaceae","Cryptantha affinis","Boraginaceae","Cryptantha affinis",,,,,,"Native","Native",,"Native","Native",,,"Not Assigned"
1188,"CRAM3","FQA_SciName","Boraginaceae","Cryptantha ambigua (A. Gray) Greene","Cryptantha ambigua","Cryptantha","ambigua"," ","5",5,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRAM3","Boraginaceae","Cryptantha ambigua","Boraginaceae","Cryptantha ambigua","Boraginaceae","Cryptantha ambigua","Boraginaceae","Cryptantha ambigua",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1189,"CRCI2","FQA_SciName","Boraginaceae","Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst.","Cryptantha circumscissa","Cryptantha","circumscissa"," ","Not Assigned",,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRCI2","Boraginaceae","Cryptantha circumscissa","Boraginaceae","Cryptantha circumscissa","Boraginaceae","Cryptantha circumscissa","Boraginaceae","Greeneocharis circumscissa",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1190,"CRCR3","FQA_SciName","Boraginaceae","Cryptantha crassisepala (Torr. & A. Gray) Greene","Cryptantha crassisepala","Cryptantha","crassisepala"," ","3",3,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"USDA PLANTS","CRCR3","Boraginaceae","Cryptantha crassisepala","Boraginaceae",,"Boraginaceae","Cryptantha crassisepala","Boraginaceae","Cryptantha crassisepala",,"Native",,"Native","Native","Native",,,"3"
1191,"CRCRE","FQA_SciName","Boraginaceae","Cryptantha crassisepala (Torr. & A. Gray) Greene var. elachantha I.M. Johnst.","Cryptantha crassisepala var. elachantha","Cryptantha","crassisepala","var. elachantha","1",1,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRCRE","Boraginaceae","Cryptantha crassisepala var. elachantha","Boraginaceae","Cryptantha crassisepala var. elachantha","Boraginaceae","Cryptantha crassisepala var. elachantha","Boraginaceae","Cryptantha crassisepala var. elachantha",,"Native","Native","Native","Native","Native",,,"1"
1192,"CRFE3","FQA_SciName","Boraginaceae","Cryptantha fendleri (A. Gray) Greene","Cryptantha fendleri","Cryptantha","fendleri"," ","3",3,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRFE3","Boraginaceae","Cryptantha fendleri","Boraginaceae","Cryptantha fendleri","Boraginaceae","Cryptantha fendleri","Boraginaceae","Cryptantha fendleri",,"Native","Native","Native","Native","Native",,,"3"
1193,"CRGR3","FQA_SciName","Boraginaceae","Cryptantha gracilis Osterh.","Cryptantha gracilis","Cryptantha","gracilis"," ","8",8,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRGR3","Boraginaceae","Cryptantha gracilis","Boraginaceae","Cryptantha gracilis","Boraginaceae","Cryptantha gracilis","Boraginaceae","Cryptantha gracilis",,"Native","Native","Native","Native","Native",,,"8"
1194,"CRKE","FQA_SciName","Boraginaceae","Cryptantha kelseyana Greene","Cryptantha kelseyana","Cryptantha","kelseyana"," ","Not Assigned",,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRKE","Boraginaceae","Cryptantha kelseyana","Boraginaceae","Cryptantha kelseyana",,,,,,"Native","Native",,"Native","Native",,,"Not Assigned"
1196,"CRMI5","FQA_SciName","Boraginaceae","Cryptantha minima Rydb.","Cryptantha minima","Cryptantha","minima"," ","3",3,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRMI5","Boraginaceae","Cryptantha minima","Boraginaceae","Cryptantha minima","Boraginaceae","Cryptantha minima","Boraginaceae","Cryptantha minima",,"Native","Native","Native","Native","Native",,,"3"
1197,"CRPT","FQA_SciName","Boraginaceae","Cryptantha pterocarya (Torr.) Greene","Cryptantha pterocarya","Cryptantha","pterocarya"," ","8",8,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRPT","Boraginaceae","Cryptantha pterocarya","Boraginaceae","Cryptantha pterocarya","Boraginaceae","Cryptantha pterocarya","Boraginaceae","Cryptantha pterocarya",,"Native","Native","Native","Native","Native",,,"8"
1198,"CRPTC","FQA_SciName","Boraginaceae","Cryptantha pterocarya (Torr.) Greene var. cycloptera (Greene) J.F. Macbr.","Cryptantha pterocarya var. cycloptera","Cryptantha","pterocarya","var. cycloptera","8",8,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRPTC","Boraginaceae","Cryptantha pterocarya var. cycloptera","Boraginaceae","Cryptantha pterocarya var. cycloptera",,,,,,"Native","Native",,"Native","Native",,,"8"
1199,"CRPTP2","FQA_SciName","Boraginaceae","Cryptantha pterocarya (Torr.) Greene var. pterocarya","Cryptantha pterocarya var. pterocarya","Cryptantha","pterocarya","var. pterocarya","8",8,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRPTP2","Boraginaceae","Cryptantha pterocarya var. pterocarya","Boraginaceae","Cryptantha pterocarya var. pterocarya",,,,,,"Native","Native",,"Native","Native",,,"8"
1200,"CRRE5","FQA_SciName","Boraginaceae","Cryptantha recurvata Coville","Cryptantha recurvata","Cryptantha","recurvata"," ","8",8,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRRE5","Boraginaceae","Cryptantha recurvata","Boraginaceae","Cryptantha recurvata","Boraginaceae","Cryptantha recurvata","Boraginaceae","Cryptantha recurvata",,"Native","Native","Native","Native","Native",,,"8"
1201,"CRSC2","FQA_SciName","Boraginaceae","Cryptantha scoparia A. Nelson","Cryptantha scoparia","Cryptantha","scoparia"," ","Not Assigned",,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRSC2","Boraginaceae","Cryptantha scoparia","Boraginaceae","Cryptantha scoparia","Boraginaceae","Cryptantha scoparia","Boraginaceae","Cryptantha scoparia",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1202,"CRWA2","FQA_SciName","Boraginaceae","Cryptantha watsonii (A. Gray) Greene","Cryptantha watsonii","Cryptantha","watsonii"," ","5",5,"Native",,,,,,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CRWA2","Boraginaceae","Cryptantha watsonii","Boraginaceae","Cryptantha watsonii","Boraginaceae","Cryptantha watsonii","Boraginaceae","Cryptantha watsonii",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1204,"CRYPT3","FQA_SciName","Pteridaceae","Cryptogramma R. Br.","Cryptogramma","Cryptogramma",,,,,"Native",,,,,,,,,"Ferns and Fern Allies","Fern","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,"CRAC3","FQA_SciName","Pteridaceae","Cryptogramma acrostichoides R. Br.","Cryptogramma acrostichoides","Cryptogramma","acrostichoides"," ","8",8,"Native",,,,,,,,"NO","Ferns and Fern Allies","Fern","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRAC3","Pteridaceae","Cryptogramma acrostichoides","Pteridaceae","Cryptogramma acrostichoides","Cryptogrammaceae","Cryptogramma acrostichoides","Cryptogrammaceae","Cryptogramma acrostichoides",,"Native","Native","Native","Native","Native",,,"8"
1205,"CRST2","FQA_SciName","Pteridaceae","Cryptogramma stelleri (S.G. Gmel.) Prantl","Cryptogramma stelleri","Cryptogramma","stelleri"," ","10",10,"Native",,"FACU",,"FACU","Yes","G5","S2","NO","Ferns and Fern Allies","Fern","Forb","Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CRST2","Pteridaceae","Cryptogramma stelleri","Pteridaceae","Cryptogramma stelleri","Cryptogrammaceae","Cryptogramma stelleri","Cryptogrammaceae","Cryptogramma stelleri",,"Native","Native","Native","Native","Native",,,"10"
1207,"CUCUR","FQA_SciName","Cucurbitaceae","Cucurbita L.","Cucurbita","Cucurbita",,,"2",2,"Native",,,,,,,,,"Angiosperms","Dicot","Vine","Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,"CUFO","FQA_SciName","Cucurbitaceae","Cucurbita foetidissima Kunth","Cucurbita foetidissima","Cucurbita","foetidissima"," ","2",2,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Forb/herb, Vine",,"Perennial","Single Crown","Rapid","High","Intolerant","Summer",,,,"Ackerfield 2015","CUFO","Cucurbitaceae","Cucurbita foetidissima","Cucurbitaceae","Cucurbita foetidissima","Cucurbitaceae","Cucurbita foetidissima","Cucurbitaceae","Cucurbita foetidissima",,"Native","Native","Native","Native","Native",,,"2"
4268,"CUCURB","FQA_SciName","Cucurbitaceae","Cucurbitaceae","Cucurbitaceae",,,,,,,,,,,,,,,"Angiosperms","Dicot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269,"CUPRES","FQA_SciName","Cupressaceae","Cupressaceae","Cupressaceae",,,,,,,,,,,,,,,"Gymnosperms","Gymnosperm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,"CUSCU","FQA_SciName","Convolvulaceae","Cuscuta L.","Cuscuta","Cuscuta",,,,,"Unknown",,,,,,,,,"Angiosperms","Dicot","Vine","Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,"CUAP2","FQA_SciName","Convolvulaceae","Cuscuta approximata Bab.","Cuscuta approximata","Cuscuta","approximata"," ","0",0,"Non-native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Forb/herb, Vine",,"Annual, Perennial",,,,,,3,"High/Low",7,"Ackerfield 2015","CUAP2","Cuscutaceae","Cuscuta approximata","Convolvulaceae","Cuscuta approximata","Cuscutaceae","Cuscuta epithymum ssp. approximata","Cuscutaceae","Cuscuta epithymum ssp. approximata","Cuscuta approximata","Introduced","Native","Non-native","Introduced","Exotic",,,"0"
1209,"CUCU2","FQA_SciName","Convolvulaceae","Cuscuta cuspidata Engelm.","Cuscuta cuspidata","Cuscuta","cuspidata"," ","1",1,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Vine, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CUCU2","Cuscutaceae","Cuscuta cuspidata","Convolvulaceae","Cuscuta cuspidata","Cuscutaceae","Grammica cuspidata","Cuscutaceae","Grammica cuspidata",,"Native","Native","Native","Native","Native",,,"1"
1210,"CUDE2","FQA_SciName","Convolvulaceae","Cuscuta denticulata Engelm.","Cuscuta denticulata","Cuscuta","denticulata"," ","Not Assigned",,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Forb/herb, Vine",,"Perennial",,,,,,,,,"Ackerfield 2015","CUDE2","Cuscutaceae","Cuscuta denticulata","Convolvulaceae","Cuscuta denticulata","Cuscutaceae","Grammica denticulata","Cuscutaceae","Grammica denticulata",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1211,"CUIN","FQA_SciName","Convolvulaceae","Cuscuta indecora Choisy","Cuscuta indecora","Cuscuta","indecora"," ","4",4,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Vine, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CUIN","Cuscutaceae","Cuscuta indecora","Convolvulaceae","Cuscuta indecora","Cuscutaceae","Grammica indecora","Cuscutaceae","Grammica indecora",,"Native","Native","Native","Native","Native",,,"4"
1213,"CUME4","FQA_SciName","Convolvulaceae","Cuscuta megalocarpa Rydb.","Cuscuta megalocarpa","Cuscuta","megalocarpa"," ","Not Assigned",,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Forb/herb, Vine",,"Perennial",,,,,,,,,"Ackerfield 2015","CUME4","Cuscutaceae","Cuscuta megalocarpa","Convolvulaceae","Cuscuta megalocarpa",,,,,,"Native","Native","Native","Native","Native",,,"Not Assigned"
1214,"CUOC","FQA_SciName","Convolvulaceae","Cuscuta occidentalis Millsp.","Cuscuta occidentalis","Cuscuta","occidentalis"," ","Not Assigned",,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Vine, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CUCAB","Cuscutaceae","Cuscuta californica var. breviflora","Convolvulaceae","Cuscuta occidentalis","Cuscutaceae","Grammica occidentalis","Cuscutaceae","Grammica occidentalis",,"Native","Native","Native","Native","Native",,,"Not Assigned"
1215,"CUPEP3","FQA_SciName","Convolvulaceae","Cuscuta pentagona Engelm.","Cuscuta pentagona","Cuscuta","pentagona"," ","1",1,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Vine, Forb/herb",,"Perennial",,,,,,,,,"Ackerfield 2015","CUPEP3","Cuscutaceae","Cuscuta pentagona","Convolvulaceae","Cuscuta pentagona","Cuscutaceae","Grammica campestris","Cuscutaceae","Grammica campestris",,"Native","Native","Native","Native","Native",,,"1"
1216,"CUUM","FQA_SciName","Convolvulaceae","Cuscuta umbellata Kunth","Cuscuta umbellata","Cuscuta","umbellata"," ","3",3,"Native",,,,,"Yes","G5","S2","NO","Angiosperms","Dicot","Vine","Vine, Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CUUM","Cuscutaceae","Cuscuta umbellata","Convolvulaceae","Cuscuta umbellata","Cuscutaceae","Grammica umbellata","Cuscutaceae","Grammica umbellata",,"Native","Native","Native","Native","Native",,,"3"
1217,"CYCLA4","FQA_SciName","Asteraceae","Cyclachaena Fresen.","Cyclachaena","Cyclachaena",,,"2",2,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,"CYXA2","FQA_SciName","Asteraceae","Cyclachaena xanthiifolia (Nutt.) Fresen.","Cyclachaena xanthiifolia","Cyclachaena","xanthiifolia"," ","2",2,"Native",,"FAC","FAC","FAC",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CYXA","Asteraceae","Cyclachaena xanthifolia","Asteraceae","Cyclachaena xanthifolia","Asteraceae","Cyclachaena xanthifolia","Asteraceae","Cyclachaena xanthifolia",,"Native","Native","Native","Native","Native",,,"2"
1220,"CYCLA2","FQA_SciName","Cucurbitaceae","Cyclanthera Schrad.","Cyclanthera","Cyclanthera",,,"1",1,"Native",,,,,,,,,"Angiosperms","Dicot","Vine","Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,"CYDI","FQA_SciName","Cucurbitaceae","Cyclanthera dissecta (Torr. & A. Gray) Arn.","Cyclanthera dissecta","Cyclanthera","dissecta"," ","1",1,"Native",,,,,,,,"NO","Angiosperms","Dicot","Vine","Vine, Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CYDI","Cucurbitaceae","Cyclanthera dissecta","Cucurbitaceae","Cyclanthera dissecta","Cucurbitaceae","Cyclanthera dissecta","Cucurbitaceae","Cyclanthera dissecta",,"Native","Native","Native","Native","Native",,,"1"
1222,"CYCLO","FQA_SciName","Chenopodiaceae","Cycloloma Moq.","Cycloloma","Cycloloma",,,"2",2,"Native",,,,,,,,,"Angiosperms","Dicot","Forb","Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,"CYAT","FQA_SciName","Chenopodiaceae","Cycloloma atriplicifolium (Spreng.) J.M. Coult.","Cycloloma atriplicifolium","Cycloloma","atriplicifolium"," ","2",2,"Native",,"FACU","FACU","FACU",,,,"NO","Angiosperms","Dicot","Forb","Forb/herb",,"Annual",,,,,,,,,"Ackerfield 2015","CYAT","Chenopodiaceae","Cycloloma atriplicifolium","Chenopodiaceae","Cycloloma atriplicifolium","Chenopodiaceae","Cycloloma atriplicifolium","Chenopodiaceae","Cycloloma atriplicifolium",,"Native","Native","Native","Native","Native",,,"2"
1223,"CYLIN2","FQA_SciName","Cactaceae","Cylindropuntia (Engelm.) Kreuzinger","Cylindropuntia","Cylindropuntia",,,,,"Native",,,,,,,,,"Angiosperms","Dicot","Shrub","Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,"CYIMI","FQA_SciName","Cactaceae","Cylindropuntia imbricata (Haw.) F.M. Knuth var. imbricata","Cylindropuntia imbricata var. imbricata","Cylindropuntia","imbricata","var. imbricata","4",4,"Native",,,,,,,,"NO","Angiosperms","Dicot","Shrub","Shrub, Tree",,"Perennial",,,,,,,,,"Ackerfield 2015","CYIMI","Cactaceae","Cylindropuntia imbricata var. imbricata","Cactaceae","Cylindropuntia imbricata var. imbricata","Cactaceae","Cylindropuntia imbricata","Cactaceae","Cylindropuntia imbricata",,"Native","Native","Native","Native","Native",,,"4"
